,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
53,55,Siemens,"13,359",twitter,Siemens,+21%,UP 5 PLACES,"210,416",111,"6,621","May 6th, 2011","12,337",B-,"57,485th","7,453,984th","2,044,005th",295 6.3%,295 6.3%,50 35.1%
54,56,H&M,"12,985",twitter,hmcanada,8%,DOWN 13 PLACES,"74,455",878,"2,312","Jun 18th, 2009","16,697",B-,"154,375th","2,412,781st","1,613,341st",-129 53.8%,-129 53.8%,-6 45.5%
55,56,H&M,"12,985",twitter,hmusa,8%,DOWN 13 PLACES,"469,319","1,414","4,494","Sep 22nd, 2008","18,950",B,"24,177th","1,414,909th","1,446,988th",-902 39.4%,-902 39.4%,-1 97.4%
56,56,H&M,"12,985",twitter,hm_custserv,8%,DOWN 13 PLACES,"48,025","4,941",390,"Sep 7th, 2012","225,742",B-,"222,997th","193,896th","37,038th",443 32.6%,443 32.6%,1.363K 25.3%
57,56,H&M,"12,985",twitter,hm,8%,DOWN 13 PLACES,"7,957,777",318,543,"Apr 15th, 2008","13,999",A-,659th,"5,205,809th","1,859,358th",-10.01K 23.5%,-10.01K 23.5%,-1 0.0%
58,57,Citi,"12,981",twitter,CitiPrivatePass,+4%,DOWN 3 PLACES,"67,660","17,218","3,085","Jun 8th, 2009","11,794",B-,"167,546th","35,556th","2,111,138th",-115 53.4%,-115 53.4%,-2 71.4%
59,57,Citi,"12,981",twitter,AskCiti,+4%,DOWN 3 PLACES,"39,457","25,279",58,"Oct 13th, 2009","298,195",B-,"261,532nd","22,357th","20,238th",61 227.1%,61 227.1%,1.313K 17.4%
60,57,Citi,"12,981",twitter,Citi,+4%,DOWN 3 PLACES,"913,832",372,"2,807","Oct 2nd, 2009","19,650",B,"11,398th","4,771,464th","1,401,158th",-232 70.5%,-232 70.5%,28 154.5%
61,58,L’Oréal,"12,915",twitter,LOrealParisUSA,+3%,DOWN 5 PLACES,"513,171","1,796","19,957","Nov 3rd, 2009","50,061",B,"21,803rd","998,471st","500,409th",1.185K 45.9%,1.185K 45.9%,1 91.7%
62,58,L’Oréal,"12,915",twitter,LOrealParisCAN,+3%,DOWN 5 PLACES,"25,313","1,387","1,927","Mar 22nd, 2011","11,094",B-,"371,541st","1,449,262nd","2,204,376th",-38 54.8%,-38 54.8%,-24 380.0%
63,58,L’Oréal,"12,915",twitter,LOrealGroupe,+3%,DOWN 5 PLACES,"133,641",501,"4,730","May 5th, 2009","21,466",B-,"90,612th","3,920,302nd","1,292,681st",-79 33.9%,-79 33.9%,13 56.7%
64,58,L’Oréal,"12,915",twitter,LOrealUSA,+3%,DOWN 5 PLACES,"63,112",308,"15,840","Jul 20th, 2009","6,668",B-,"177,639th","5,289,124th","3,027,938th",886 14.8%,886 14.8%,-4 33.3%
65,59,Philips,"12,801",twitter,PhilipsPR,+6%,DOWN 2 PLACES,"48,631","2,052",258,"Aug 20th, 2009","9,769",B-,"220,723rd","802,209th","2,403,041st",-41 55.9%,-41 55.9%,30 172.7%
66,59,Philips,"12,801",twitter,Philips_lights,+6%,DOWN 2 PLACES,"71,439","3,664","11,182","Aug 10th, 2009","33,581",B-,"159,947th","340,038th","816,287th",-48 51%,-48 51%,-4 86.2%
67,59,Philips,"12,801",twitter,PhilipsHealth,+6%,DOWN 2 PLACES,"69,243",92,"5,140","Jun 22nd, 2016","6,318",B-,"164,317th","7,739,385th","3,119,483rd",-5 91.5%,-5 91.5%,28 153.8%
68,59,Philips,"12,801",twitter,PhilipsNA,+6%,DOWN 2 PLACES,"58,932","1,623","2,426","Jun 1st, 2011","15,512",B-,"188,174th","1,172,301st","1,714,110th",-49 70.8%,-49 70.8%,-8 153.3%
69,59,Philips,"12,801",twitter,Philips,+6%,DOWN 2 PLACES,"332,320","1,150","4,889","Mar 7th, 2007","20,808",B,"35,435th","1,795,016th","1,331,140th",-299 149.2%,-299 149.2%,341 0.9%
70,60,eBay,"12,767",twitter,AskeBay,+4%,DOWN 4 PLACES,"120,828","6,265","2,076","Dec 6th, 2011","494,218",B-,"100,075th","123,194th","6,457th",535 63.6%,535 63.6%,2.023K 12.5%
71,60,eBay,"12,767",twitter,eBayNewsroom,+4%,DOWN 4 PLACES,"112,399","1,282","6,145","Feb 3rd, 2008","19,098",B-,"107,305th","1,589,826th","1,437,148th",2 101.4%,2 101.4%,18 200%
72,60,eBay,"12,767",twitter,eBay,+4%,DOWN 4 PLACES,"773,168","1,189","7,227","Jan 29th, 2009","37,211",B,"13,774th","1,731,460th","725,203rd",149 131.8%,149 131.8%,70 9.1%
73,60,eBay,"12,767",twitter,eBayCanada,+4%,DOWN 4 PLACES,"18,786",752,"2,536","Apr 4th, 2011","5,866",B-,"468,039th","2,807,537th","3,245,994th",23 130.0%,23 130.0%,17 10.5%
74,61,Nissan,"12,212",twitter,NISMO,+10%,DOWN 2 PLACES,"110,312",726,"3,056","Apr 3rd, 2010","25,269",B-,"109,128th","2,895,165th","1,104,321st",266 8.6%,266 8.6%,-4 42.9%
